FileName,PageCount,Size,CompressedSize,Ratio,Duration
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/00000830_00449_gongzuo_biaoge.json.html_799.pdf,1,253897,253812,0.033478,30.932375
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/00000830_00450_gongzuo_biaoge.json.html_613.pdf,1,115663,115628,0.030260,12.809708
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/00000830_00451_gongzuo_biaoge.json.html_578.pdf,1,240190,240196,-0.002498,3.356208
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/00000830_00452_gongzuo_biaoge.json.html_794.pdf,1,120167,120054,0.094036,14.979125
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/00000830_00453_gongzuo_biaoge.json.html_409.pdf,1,157672,157678,-0.003805,2.055167
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/00000830_00454_gongzuo_biaoge.json.html_803.pdf,1,195219,195214,0.002561,2.846750
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/100.Go.Mistakes.and.How.to.Avoid.Them.2022.8.pdf,385,6045501,6045195,0.005062,257.983375
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/150MB.pdf,22,24137436,23814317,1.338663,18885.369292
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/20MB.pdf,82,20710816,20710817,-0.000005,82.380917
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/25MB.pdf,21,26397071,26397084,-0.000049,89.049333
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/5MB.pdf,9,1140843,1140562,0.024631,938.583125
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/7201002888101450_pdf2docx_from.pdf,124,63141165,3257142,94.841492,42280.964209
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/7201002888101451_pdf2docx_from.pdf,124,63141165,3257142,94.841492,44221.348084
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/CN102693286B - 一种对文件内容与元数据进行组织管理的方法 - Google Patents.pdf,6,517858,295132,43.009087,32.134834
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/Cloud Native Go-2021-英文版.pdf,436,8832565,8105355,8.233282,1791.012750
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/C语言程序设计：现代方法（第2版•修订版）.pdf,729,11497186,10666987,7.220889,1645.971709
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/Designing-Data-Intensive-Applications.pdf,613,24982198,9691612,61.205928,6216.545834
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/Digital Image Processing Using Matlab.pdf,344,40891866,14464586,64.627229,28020.828250
"/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/Eric T. Freeman, Elisabeth Robson - Head First JavaScript Programming_ A Brain-Friendly Guide-O’Reilly Media (2014).pdf",704,20734001,16319279,21.292186,14202.369791
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/HTTP.The.Definitive.Guide.Brian.Totty.David.Gourley.OReilly.9781565925090.EBooksWorld.ir.pdf,658,9978158,6166726,38.197752,793.233250
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/Head First JavaScript Programming-2014-英文版.pdf,704,91932161,47028490,48.844355,28653.179833
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/PDF Explained.2011.英文版.pdf,138,6119922,2477113,59.523782,5464.664667
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/PDF Reference.v1.0.pdf,230,1678791,875410,47.854736,156.450750
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/000011053036436ca1b780e0054de48a18f0.pdf,1,157450765,157308521,0.090342,509.344041
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/00001264ef84baa824922d7d4228ca63ab86.pdf,282,200903236,47398380,76.407359,281369.644166
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/0000fbcc57c2f626b0692b9afb69df2019b2.pdf,1,199062260,192492837,3.300185,6876.845708
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/0000fc547f03d31f763b8660d482d811d673.pdf,1,158085992,185644,99.882568,7829.089625
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/0000fe17f8614ef37f61f0d951f120e63aae.pdf,12,202516927,202513379,0.001752,481.189875
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/0000ff45547c16743972f038cfc6be8850cc.pdf,1,204341313,121441941,40.569071,7598.799083
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/big-1page-c.pdf,1,157331194,101026965,35.787073,10603.730500
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/big-1page-fish.pdf,1,200021151,199509908,0.255594,969.653166
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/big-1page-label.pdf,1,207007354,205934546,0.518246,3681.377041
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/bad-big/big-3page.pdf,3,202409881,84528509,58.238941,3799.654125
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/cbook-22page.pdf,1,836860,834785,0.247951,13.654209
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/cbook.pdf,729,11497186,10667001,7.220767,1394.774583
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/cbook1.pdf,1,771021,768993,0.263028,10.938792
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/cbook_output.pdf,729,10625815,10625955,-0.001318,537.504709
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/coding.pdf,193,11613742,11311726,2.600506,321.724708
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/d0e4ce181ve8ae728f81ef448ea03738_pdf2docx_from.pdf,124,63141165,3257142,94.841492,42428.281042
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-001/278172086848534.pdf,1,193271248,191701241,0.812333,3066.632584
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-001/573909553085728.pdf,8,193123336,145296641,24.764845,6913.931084
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-001/84599027788898.pdf,1,193275929,193097018,0.092568,1921.393958
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/872800471952835.pdf,441,188170944,53469528,71.584599,140138.931417
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/928853708792616.pdf,369,187786069,113872451,39.360544,57731.136792
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/good-well-050/944605085620108.pdf,441,186822280,79645241,57.368446,125112.571959
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/head first javascript 中文版.pdf,628,51546116,51181833,0.706713,281.226541
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/logo.pdf,12,680694,450117,33.873811,297.566959
/Users/zhangmeng56/Documents/github/go-practice/pdf/pdf-files/logo1.pdf,1,167794,149534,10.882392,25.526375
